,Gender,Age,Height (cm),BMI Category,Weight (KG)
321,Female,53,162.11,Normal weight,50.521
322,Male,44,182.65,Obese,148.174
323,Female,29,167.61,Overweight,71.258
324,Female,48,166.49,Normal weight,53.902
325,Female,24,162.35,Normal weight,56.994
326,Male,47,190.29,Normal weight,85.699
327,Female,46,155.84,Normal weight,48.012
328,Female,18,164.53,Normal weight,60.094
329,Female,40,160.3,Obese,99.55
330,Female,50,172.53,Normal weight,70.603
331,Male,51,188.51,Overweight,99.239
332,Male,49,187.2,Obese,140.629
333,Female,58,170.43,Normal weight,66.848
334,Female,51,154.05,Normal weight,56.089
335,Male,60,193.11,Overweight,103.31
336,Male,37,182.05,Normal weight,61.897
337,Female,19,163.88,Obese,81.793
338,Male,27,178.55,Normal weight,68.48
339,Male,32,176.0,Obese,118.085
340,Female,20,167.92,Obese,114.873
341,Male,23,180.59,Obese,137.918
342,Female,40,161.97,Obese,116.831
343,Female,30,145.19,Normal weight,48.704
344,Female,32,164.43,Overweight,80.825
345,Male,50,181.77,Overweight,89.209
346,Female,56,168.69,Underweight,48.402
347,Male,56,177.32,Underweight,52.09
348,Female,35,168.14,Normal weight,64.716
349,Male,49,185.67,Obese,121.441
350,Female,56,161.13,Overweight,72.129
351,Male,25,188.77,Normal weight,83.015
352,Male,28,164.58,Overweight,78.164
353,Female,46,155.13,Normal weight,45.58
354,Female,31,157.83,Normal weight,47.982
355,Female,28,146.15,Normal weight,39.751
356,Female,35,157.11,Normal weight,51.451
357,Male,18,187.23,Normal weight,73.637
358,Female,37,174.12,Underweight,46.666
359,Female,20,165.44,Overweight,72.863
360,Male,30,190.57,Overweight,105.358
361,Female,29,166.52,Overweight,82.173
362,Male,33,174.88,Obese,117.318
363,Male,24,180.11,Normal weight,69.896
364,Male,39,177.43,Underweight,57.473
365,Male,48,183.6,Normal weight,66.92
366,Female,34,153.29,Normal weight,56.625
367,Female,60,172.29,Obese,121.379
368,Female,56,161.21,Obese,88.119
369,Male,33,184.45,Obese,107.227
370,Female,19,153.0,Normal weight,56.38
371,Male,52,175.44,Overweight,91.313
372,Female,30,165.29,Obese,90.613
373,Female,33,171.54,Normal weight,73.353
374,Male,43,169.79,Overweight,83.515
375,Female,64,177.36,Normal weight,77.696
376,Female,32,168.36,Overweight,73.04
377,Male,39,174.68,Overweight,90.248
378,Male,45,187.01,Overweight,104.798
379,Male,48,179.13,Obese,120.192
380,Female,29,173.49,Obese,124.94
381,Male,44,194.82,Normal weight,72.646
382,Male,42,183.83,Underweight,53.623
383,Male,47,174.68,Obese,97.524
384,Female,24,161.47,Normal weight,64.738
385,Female,24,169.12,Obese,99.674
386,Female,63,166.89,Obese,103.501
387,Male,54,172.51,Normal weight,61.729
388,Female,55,159.63,Normal weight,58.654
389,Female,60,169.75,Normal weight,64.13
390,Female,62,182.51,Overweight,91.677
391,Male,36,159.8,Overweight,68.338
392,Female,51,170.19,Normal weight,55.361
393,Male,46,176.91,Overweight,78.492
394,Female,42,170.62,Overweight,83.753
395,Female,47,171.29,Obese,116.26
396,Male,33,178.77,Obese,114.21
397,Female,56,156.99,Normal weight,50.225
398,Female,36,154.1,Underweight,36.589
399,Female,25,150.47,Normal weight,48.713
400,Male,18,187.04,Underweight,48.558
401,Male,46,176.92,Normal weight,66.236
402,Male,29,174.58,Normal weight,63.599
403,Female,62,162.59,Normal weight,50.768
404,Male,27,168.93,Obese,111.631
405,Female,33,167.01,Obese,108.921
406,Female,63,174.71,Overweight,81.863
407,Male,41,186.45,Obese,128.412
408,Female,60,152.82,Obese,86.428
409,Female,52,175.05,Overweight,86.756
410,Male,24,173.0,Overweight,76.185
411,Female,29,150.18,Normal weight,48.184
412,Male,36,169.71,Overweight,75.099
413,Female,57,157.36,Normal weight,51.026
414,Female,34,164.65,Overweight,68.986
415,Female,38,156.87,Normal weight,56.433
416,Male,39,167.72,Obese,106.163
417,Male,33,176.53,Obese,127.869
418,Male,53,192.0,Obese,118.065
419,Female,20,159.37,Overweight,63.948
420,Male,29,181.68,Overweight,87.885
421,Female,54,165.31,Obese,87.343
422,Female,45,184.87,Normal weight,72.013
423,Male,40,164.98,Normal weight,60.084
424,Female,35,173.01,Normal weight,55.829
425,Male,24,169.34,Normal weight,55.902
426,Female,38,160.2,Normal weight,63.935
427,Female,64,163.97,Overweight,77.683
428,Male,44,200.93,Normal weight,79.437
429,Female,43,158.91,Normal weight,58.138
430,Female,64,150.36,Normal weight,41.975
431,Female,58,174.55,Overweight,83.963
432,Female,64,158.33,Overweight,63.021
433,Male,62,176.68,Obese,115.27
434,Male,47,178.23,Normal weight,64.734
435,Male,32,179.09,Obese,108.97
436,Male,45,177.2,Normal weight,76.266
437,Female,34,166.73,Normal weight,52.299
438,Female,54,167.64,Normal weight,65.76
439,Female,25,171.18,Normal weight,60.01
440,Female,38,161.46,Normal weight,64.711
441,Male,55,173.11,Overweight,88.341
442,Male,38,170.88,Obese,122.103
443,Female,44,169.2,Obese,99.025
444,Male,22,178.07,Obese,118.487
445,Male,32,182.31,Normal weight,66.946
446,Female,62,168.78,Overweight,78.075
447,Male,46,190.32,Obese,142.322
448,Male,35,179.87,Overweight,81.732
449,Female,40,170.41,Normal weight,59.427
450,Female,52,155.57,Normal weight,59.391
451,Male,53,170.76,Normal weight,67.651
452,Female,55,162.33,Overweight,69.094
453,Male,32,169.8,Obese,102.968
454,Female,30,169.93,Obese,98.48
455,Female,45,154.58,Overweight,69.026
456,Male,41,178.88,Obese,113.171
457,Male,43,161.02,Normal weight,58.994
458,Female,29,156.31,Overweight,61.658
459,Female,33,162.13,Overweight,78.1
460,Male,51,176.57,Normal weight,70.389
461,Female,34,151.1,Obese,81.68
462,Female,51,165.52,Obese,119.029
463,Male,20,185.29,Normal weight,70.056
464,Female,61,169.62,Normal weight,70.219
465,Male,28,173.74,Overweight,77.328
466,Male,39,174.25,Normal weight,61.539
467,Male,60,170.01,Obese,124.872
468,Male,30,182.85,Obese,105.782
469,Male,29,188.59,Normal weight,75.996
470,Male,64,174.68,Normal weight,74.024
471,Female,59,151.81,Normal weight,54.09
472,Male,41,179.81,Overweight,87.338
473,Male,20,183.4,Normal weight,80.949
474,Male,44,159.15,Overweight,64.244
475,Male,30,179.38,Overweight,81.167
476,Male,28,193.7,Normal weight,91.303
477,Female,60,170.93,Normal weight,60.365
478,Female,45,168.88,Normal weight,63.328
479,Female,38,167.75,Normal weight,59.034
480,Male,21,185.91,Obese,127.963
481,Female,35,157.56,Obese,89.505
482,Female,56,158.28,Normal weight,49.217
483,Female,32,167.79,Normal weight,62.546
484,Female,33,159.5,Normal weight,49.481
485,Male,44,180.23,Overweight,92.865
486,Female,30,150.18,Overweight,56.601
487,Female,42,170.45,Normal weight,66.434
488,Female,52,171.13,Normal weight,62.543
489,Male,32,178.71,Obese,103.211
490,Female,39,165.95,Normal weight,64.687
491,Male,43,189.86,Obese,117.022
492,Female,35,156.48,Normal weight,58.3
493,Male,29,171.94,Overweight,77.516
494,Male,23,170.67,Normal weight,64.308
495,Male,43,175.4,Normal weight,74.919
496,Male,61,171.25,Obese,120.338
497,Female,18,164.98,Obese,94.126
498,Male,57,173.8,Normal weight,68.511
499,Male,62,168.15,Normal weight,65.089
