"STATISTIC","Statistic","TLIST(A1)","CensusYear","C02199V02655","Sex","C02076V03371","Age Last Birthday","C02786V03355","At Each Year of Age","UNIT","VALUE"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","009","9 years","23","Population at or under this age","Number","677099"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","009","9 years","24","Population at or over this age","Number","3973753"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","010","10 years","22","Population","Number","61429"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","010","10 years","23","Population at or under this age","Number","738528"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","010","10 years","24","Population at or over this age","Number","3911153"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","011","11 years","22","Population","Number","60834"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","011","11 years","23","Population at or under this age","Number","799362"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","011","11 years","24","Population at or over this age","Number","3849724"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","012","12 years","22","Population","Number","61234"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","012","12 years","23","Population at or under this age","Number","860596"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","012","12 years","24","Population at or over this age","Number","3788890"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","013","13 years","22","Population","Number","59992"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","013","13 years","23","Population at or under this age","Number","920588"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","013","13 years","24","Population at or over this age","Number","3727656"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","014","14 years","22","Population","Number","59002"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","014","14 years","23","Population at or under this age","Number","979590"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","014","14 years","24","Population at or over this age","Number","3667664"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","015","15 years","22","Population","Number","57227"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","015","15 years","23","Population at or under this age","Number","1036817"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","015","15 years","24","Population at or over this age","Number","3608662"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","016","16 years","22","Population","Number","56005"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","016","16 years","23","Population at or under this age","Number","1092822"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","016","16 years","24","Population at or over this age","Number","3551435"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","017","17 years","22","Population","Number","55865"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","017","17 years","23","Population at or under this age","Number","1148687"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","017","17 years","24","Population at or over this age","Number","3495430"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","018","18 years","22","Population","Number","56840"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","018","18 years","23","Population at or under this age","Number","1205527"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","018","18 years","24","Population at or over this age","Number","3439565"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","019","19 years","22","Population","Number","57082"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","019","19 years","23","Population at or under this age","Number","1262609"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","019","19 years","24","Population at or over this age","Number","3382725"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","020","20 years","22","Population","Number","59932"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","020","20 years","23","Population at or under this age","Number","1322541"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","020","20 years","24","Population at or over this age","Number","3325643"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","021","21 years","22","Population","Number","57930"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","021","21 years","23","Population at or under this age","Number","1380471"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","021","21 years","24","Population at or over this age","Number","3265711"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","022","22 years","22","Population","Number","57647"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","022","22 years","23","Population at or under this age","Number","1438118"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","022","22 years","24","Population at or over this age","Number","3207781"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","023","23 years","22","Population","Number","59459"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","023","23 years","23","Population at or under this age","Number","1497577"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","023","23 years","24","Population at or over this age","Number","3150134"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","024","24 years","22","Population","Number","62263"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","024","24 years","23","Population at or under this age","Number","1559840"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","024","24 years","24","Population at or over this age","Number","3090675"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","025","25 years","22","Population","Number","65242"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","025","25 years","23","Population at or under this age","Number","1625082"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","025","25 years","24","Population at or over this age","Number","3028412"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","026","26 years","22","Population","Number","68086"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","026","26 years","23","Population at or under this age","Number","1693168"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","026","26 years","24","Population at or over this age","Number","2963170"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","027","27 years","22","Population","Number","71791"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","027","27 years","23","Population at or under this age","Number","1764959"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","027","27 years","24","Population at or over this age","Number","2895084"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","028","28 years","22","Population","Number","76766"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","028","28 years","23","Population at or under this age","Number","1841725"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","028","28 years","24","Population at or over this age","Number","2823293"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","029","29 years","22","Population","Number","79237"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","029","29 years","23","Population at or under this age","Number","1920962"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","029","29 years","24","Population at or over this age","Number","2746527"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","030","30 years","22","Population","Number","82614"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","030","30 years","23","Population at or under this age","Number","2003576"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","030","30 years","24","Population at or over this age","Number","2667290"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","031","31 years","22","Population","Number","81733"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","031","31 years","23","Population at or under this age","Number","2085309"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","031","31 years","24","Population at or over this age","Number","2584676"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","032","32 years","22","Population","Number","78832"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","032","32 years","23","Population at or under this age","Number","2164141"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","032","32 years","24","Population at or over this age","Number","2502943"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","033","33 years","22","Population","Number","75997"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","033","33 years","23","Population at or under this age","Number","2240138"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","033","33 years","24","Population at or over this age","Number","2424111"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","034","34 years","22","Population","Number","74769"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","034","34 years","23","Population at or under this age","Number","2314907"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","034","34 years","24","Population at or over this age","Number","2348114"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","035","35 years","22","Population","Number","74286"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","035","35 years","23","Population at or under this age","Number","2389193"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","035","35 years","24","Population at or over this age","Number","2273345"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","036","36 years","22","Population","Number","73970"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","036","36 years","23","Population at or under this age","Number","2463163"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","036","36 years","24","Population at or over this age","Number","2199059"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","037","37 years","22","Population","Number","72536"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","037","37 years","23","Population at or under this age","Number","2535699"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","037","37 years","24","Population at or over this age","Number","2125089"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","038","38 years","22","Population","Number","72619"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","038","38 years","23","Population at or under this age","Number","2608318"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","038","38 years","24","Population at or over this age","Number","2052553"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","039","39 years","22","Population","Number","70850"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","039","39 years","23","Population at or under this age","Number","2679168"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","039","39 years","24","Population at or over this age","Number","1979934"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","040","40 years","22","Population","Number","70347"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","040","40 years","23","Population at or under this age","Number","2749515"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","040","40 years","24","Population at or over this age","Number","1909084"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","041","41 years","22","Population","Number","68490"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","041","41 years","23","Population at or under this age","Number","2818005"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","041","41 years","24","Population at or over this age","Number","1838737"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","042","42 years","22","Population","Number","64732"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","042","42 years","23","Population at or under this age","Number","2882737"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","042","42 years","24","Population at or over this age","Number","1770247"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","043","43 years","22","Population","Number","64164"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","043","43 years","23","Population at or under this age","Number","2946901"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","043","43 years","24","Population at or over this age","Number","1705515"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","044","44 years","22","Population","Number","63079"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","044","44 years","23","Population at or under this age","Number","3009980"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","044","44 years","24","Population at or over this age","Number","1641351"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","045","45 years","22","Population","Number","62698"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","045","45 years","23","Population at or under this age","Number","3072678"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","045","45 years","24","Population at or over this age","Number","1578272"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","046","46 years","22","Population","Number","63180"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","046","46 years","23","Population at or under this age","Number","3135858"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","046","46 years","24","Population at or over this age","Number","1515574"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","047","47 years","22","Population","Number","61369"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","047","47 years","23","Population at or under this age","Number","3197227"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","047","47 years","24","Population at or over this age","Number","1452394"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","048","48 years","22","Population","Number","59782"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","048","48 years","23","Population at or under this age","Number","3257009"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","048","48 years","24","Population at or over this age","Number","1391025"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","049","49 years","22","Population","Number","58156"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","049","49 years","23","Population at or under this age","Number","3315165"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","049","49 years","24","Population at or over this age","Number","1331243"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","050","50 years","22","Population","Number","58441"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","050","50 years","23","Population at or under this age","Number","3373606"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","050","50 years","24","Population at or over this age","Number","1273087"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","051","51 years","22","Population","Number","56126"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","051","51 years","23","Population at or under this age","Number","3429732"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","051","51 years","24","Population at or over this age","Number","1214646"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","052","52 years","22","Population","Number","54054"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","052","52 years","23","Population at or under this age","Number","3483786"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","052","52 years","24","Population at or over this age","Number","1158520"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","053","53 years","22","Population","Number","53446"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","053","53 years","23","Population at or under this age","Number","3537232"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","053","53 years","24","Population at or over this age","Number","1104466"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","054","54 years","22","Population","Number","52319"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","054","54 years","23","Population at or under this age","Number","3589551"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","054","54 years","24","Population at or over this age","Number","1051020"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","055","55 years","22","Population","Number","50731"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","055","55 years","23","Population at or under this age","Number","3640282"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","055","55 years","24","Population at or over this age","Number","998701"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","056","56 years","22","Population","Number","50475"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","056","56 years","23","Population at or under this age","Number","3690757"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","056","56 years","24","Population at or over this age","Number","947970"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","057","57 years","22","Population","Number","48474"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","057","57 years","23","Population at or under this age","Number","3739231"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","057","57 years","24","Population at or over this age","Number","897495"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","058","58 years","22","Population","Number","48640"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","058","58 years","23","Population at or under this age","Number","3787871"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","058","58 years","24","Population at or over this age","Number","849021"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","059","59 years","22","Population","Number","46202"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","059","59 years","23","Population at or under this age","Number","3834073"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","059","59 years","24","Population at or over this age","Number","800381"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","060","60 years","22","Population","Number","45365"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","060","60 years","23","Population at or under this age","Number","3879438"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","060","60 years","24","Population at or over this age","Number","754179"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","061","61 years","22","Population","Number","44765"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","061","61 years","23","Population at or under this age","Number","3924203"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","061","61 years","24","Population at or over this age","Number","708814"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","062","62 years","22","Population","Number","44100"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","062","62 years","23","Population at or under this age","Number","3968303"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","062","62 years","24","Population at or over this age","Number","664049"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","063","63 years","22","Population","Number","43124"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","063","63 years","23","Population at or under this age","Number","4011427"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","063","63 years","24","Population at or over this age","Number","619949"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","064","64 years","22","Population","Number","41432"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","064","64 years","23","Population at or under this age","Number","4052859"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","064","64 years","24","Population at or over this age","Number","576825"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","065","65 years","22","Population","Number","39834"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","065","65 years","23","Population at or under this age","Number","4092693"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","065","65 years","24","Population at or over this age","Number","535393"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","066","66 years","22","Population","Number","36582"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","066","66 years","23","Population at or under this age","Number","4129275"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","066","66 years","24","Population at or over this age","Number","495559"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","067","67 years","22","Population","Number","34761"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","067","67 years","23","Population at or under this age","Number","4164036"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","067","67 years","24","Population at or over this age","Number","458977"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","068","68 years","22","Population","Number","32783"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","068","68 years","23","Population at or under this age","Number","4196819"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","068","68 years","24","Population at or over this age","Number","424216"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","069","69 years","22","Population","Number","29678"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","069","69 years","23","Population at or under this age","Number","4226497"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","069","69 years","24","Population at or over this age","Number","391433"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","070","70 years","22","Population","Number","28165"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","070","70 years","23","Population at or under this age","Number","4254662"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","070","70 years","24","Population at or over this age","Number","361755"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","071","71 years","22","Population","Number","27822"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","071","71 years","23","Population at or under this age","Number","4282484"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","071","71 years","24","Population at or over this age","Number","333590"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","072","72 years","22","Population","Number","26505"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","072","72 years","23","Population at or under this age","Number","4308989"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","072","72 years","24","Population at or over this age","Number","305768"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","073","73 years","22","Population","Number","24637"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","073","73 years","23","Population at or under this age","Number","4333626"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","073","73 years","24","Population at or over this age","Number","279263"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","074","74 years","22","Population","Number","24061"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","074","74 years","23","Population at or under this age","Number","4357687"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","074","74 years","24","Population at or over this age","Number","254626"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","075","75 years","22","Population","Number","23096"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","075","75 years","23","Population at or under this age","Number","4380783"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","075","75 years","24","Population at or over this age","Number","230565"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","076","76 years","22","Population","Number","21734"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","076","76 years","23","Population at or under this age","Number","4402517"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","076","76 years","24","Population at or over this age","Number","207469"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","077","77 years","22","Population","Number","20643"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","077","77 years","23","Population at or under this age","Number","4423160"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","077","77 years","24","Population at or over this age","Number","185735"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","078","78 years","22","Population","Number","18862"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","078","78 years","23","Population at or under this age","Number","4442022"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","078","78 years","24","Population at or over this age","Number","165092"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","079","79 years","22","Population","Number","17701"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","079","79 years","23","Population at or under this age","Number","4459723"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","079","79 years","24","Population at or over this age","Number","146230"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","080","80 years","22","Population","Number","16954"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","080","80 years","23","Population at or under this age","Number","4476677"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","080","80 years","24","Population at or over this age","Number","128529"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","081","81 years","22","Population","Number","15331"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","081","81 years","23","Population at or under this age","Number","4492008"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","081","81 years","24","Population at or over this age","Number","111575"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","082","82 years","22","Population","Number","13893"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","082","82 years","23","Population at or under this age","Number","4505901"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","082","82 years","24","Population at or over this age","Number","96244"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","083","83 years","22","Population","Number","12378"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","083","83 years","23","Population at or under this age","Number","4518279"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","083","83 years","24","Population at or over this age","Number","82351"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","084","84 years","22","Population","Number","11557"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","084","84 years","23","Population at or under this age","Number","4529836"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","084","84 years","24","Population at or over this age","Number","69973"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","085","85 years","22","Population","Number","10247"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","085","85 years","23","Population at or under this age","Number","4540083"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","085","85 years","24","Population at or over this age","Number","58416"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","086","86 years","22","Population","Number","9249"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","086","86 years","23","Population at or under this age","Number","4549332"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","086","86 years","24","Population at or over this age","Number","48169"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","087","87 years","22","Population","Number","7975"
"EY007","Population 2011 to 2016","2011","2011","-","Both sexes","087","87 years","23","Population at or under this age","Number","4557307"
